phone,axes,first_with,with_without,first_without
l,Slow - Quick,9.662e-10,1.653e-14,0.0002265
l,Small - Big,++0.1755,2.984e-23,++0.003064
l,Smooth - Rough_or_not_smooth,++0.002935,1.126e-06,7.864e-07
l,Ugly - Beautiful,++0.001566,4.841e-16,++0.4618
p,Angular - Round,++0.03013,++0.2622,++0.03816
p,Bad - Good,++0.001187,++0.3766,1.827e-05
p,Cold - Hot,++0.4307,0.0009795,++0.002588
p,Complex - Simple,++0.1728,++0.01398,++0.2366
p,Cowardly - Brave,++0.02608,++0.1614,++0.06787
p,Dangerous - Secure,0.000943,++0.1013,5.375e-07
p,Dark - Luminous,++0.1822,1.029e-12,1.175e-06
p,Difficult - Easy,++0.03117,++0.05364,0.0001571
p,Evil - Benign,++0.3953,0.0001842,0.0003183
p,Faded - Bright,++0.08857,++0.3764,++0.02662
p,Feeble - Strong,0.00016,++0.2559,2.705e-05
p,Masculine - Feminine,++0.118,1.736e-07,++0.003528
p,Passive - Active,0.0008071,6.204e-08,++0.3149
p,Quiet - Loud,0.0001343,++0.04987,++0.001122
p,Rough - Tender,++0.2673,++0.005635,++0.08519
p,Sad - Joyful,++0.1578,++0.3028,++0.05027
p,Short - Long,1.807e-05,2.842e-06,++0.09448
p,Slow - Quick,4.169e-08,9.213e-11,++0.09426
p,Small - Big,2.523e-11,3.736e-11,++0.002988
p,Smooth - Rough_or_not_smooth,0.0003103,++0.03293,++0.004351
p,Ugly - Beautiful,++0.03466,++0.06442,++0.1821
r,Angular - Round,++1.0,++1.0,++1.0
r,Bad - Good,++1.0,++1.0,++1.0
r,Cold - Hot,++1.0,++1.0,++1.0
r,Complex - Simple,++1.0,++1.0,++1.0
r,Cowardly - Brave,++1.0,++1.0,++1.0
r,Dangerous - Secure,++1.0,++1.0,++1.0
r,Dark - Luminous,++1.0,++1.0,++1.0
r,Difficult - Easy,++1.0,++1.0,++1.0
r,Evil - Benign,++1.0,++1.0,++1.0
r,Faded - Bright,++1.0,++1.0,++1.0
r,Feeble - Strong,++1.0,++1.0,++1.0
r,Masculine - Feminine,++1.0,++1.0,++1.0
r,Passive - Active,++1.0,++1.0,++1.0
r,Quiet - Loud,++1.0,++1.0,++1.0
r,Rough - Tender,++1.0,++1.0,++1.0
r,Sad - Joyful,++1.0,++1.0,++1.0
r,Short - Long,++1.0,++1.0,++1.0
r,Slow - Quick,++1.0,++1.0,++1.0
r,Small - Big,++1.0,++1.0,++1.0
r,Smooth - Rough_or_not_smooth,++1.0,++1.0,++1.0
r,Ugly - Beautiful,++1.0,++1.0,++1.0
b,Angular - Round,++0.01204,++0.03439,2.011e-06
b,Bad - Good,++0.007756,++0.3186,7.422e-05
b,Cold - Hot,0.0002139,++0.004608,++0.01191
b,Complex - Simple,8.006e-07,1.395e-11,++0.4626
b,Cowardly - Brave,++0.4194,++0.0483,++0.1057
b,Dangerous - Secure,0.0002215,1.942e-05,++0.2202
b,Dark - Luminous,++0.001019,++0.04268,++0.004902
b,Difficult - Easy,++0.2222,++0.07904,++0.3649
b,Evil - Benign,++0.3373,++0.01453,++0.004059
b,Faded - Bright,9.84e-06,++0.01606,0.0001141
b,Feeble - Strong,0.000395,++0.1514,1.353e-08
b,Masculine - Feminine,++0.001377,0.0005896,9.029e-13
b,Passive - Active,1.332e-05,3.097e-10,++0.4191
b,Quiet - Loud,++0.02113,++0.05166,++0.09574
b,Rough - Tender,++0.2948,++0.001943,0.0002442
b,Sad - Joyful,++0.00182,0.00021,++0.2663
b,Short - Long,1.021e-09,++0.2281,2.139e-14
b,Slow - Quick,3.109e-08,++0.1068,9.285e-11
b,Small - Big,++0.002303,6.894e-05,++0.3456
b,Smooth - Rough_or_not_smooth,0.000599,++0.1248,1.276e-08
b,Ugly - Beautiful,++0.4452,++0.1894,++0.2468
j,Angular - Round,++0.3003,++0.4668,++0.2829
j,Bad - Good,++0.01974,0.0001384,0.0001401
j,Cold - Hot,++0.01101,++0.2261,++0.003604
j,Complex - Simple,0.0001472,++0.01084,0.0008348
j,Cowardly - Brave,++0.4514,++0.2965,++0.369
j,Dangerous - Secure,++0.1828,++0.209,++0.1019
j,Dark - Luminous,++0.1162,9.508e-07,0.0004993
j,Difficult - Easy,0.0002069,++0.1238,1.019e-05
j,Evil - Benign,++0.4032,5.389e-05,++0.0264
j,Faded - Bright,++0.3166,++0.1809,++0.2057
j,Feeble - Strong,++0.1573,++0.4598,++0.1383
j,Masculine - Feminine,5.794e-05,0.0002981,++0.002493
j,Passive - Active,++0.01238,++0.001383,0.0002277
j,Quiet - Loud,++0.07064,++0.3332,++0.08421
j,Rough - Tender,++0.001284,++0.02151,++0.007898
j,Sad - Joyful,2.301e-08,++0.1755,8.011e-09
j,Short - Long,++0.06056,++0.01003,++0.2211
j,Slow - Quick,++0.1112,++0.005192,++0.3328
j,Small - Big,++0.1393,++0.0156,++0.35
j,Smooth - Rough_or_not_smooth,2.923e-09,++0.004362,9.794e-08
j,Ugly - Beautiful,0.0003041,++0.01411,0.0007369
t,Angular - Round,2.137e-05,++0.02944,0.000467
t,Bad - Good,++0.06962,5.476e-10,++0.06799
t,Cold - Hot,++0.4255,++0.4314,++0.4597
t,Complex - Simple,++0.1704,0.0004567,++0.005659
t,Cowardly - Brave,++0.07671,8.014e-07,++0.2096
t,Dangerous - Secure,++0.004486,++0.04151,0.0002164
t,Dark - Luminous,++0.4106,2.508e-12,++0.001064
t,Difficult - Easy,++0.2713,++0.3965,++0.3058
t,Evil - Benign,++0.1837,5.055e-07,0.0004319
t,Faded - Bright,++0.006426,++0.01508,++0.06864
t,Feeble - Strong,1.97e-05,++0.1866,1.653e-06
t,Masculine - Feminine,++0.1493,4.233e-06,++0.1611
t,Passive - Active,++0.003274,++0.4482,++0.00237
t,Quiet - Loud,++0.1698,++0.01169,++0.4539
t,Rough - Tender,++0.2607,1.7e-05,++0.006337
t,Sad - Joyful,++0.07207,++0.04974,++0.01223
t,Short - Long,5.148e-08,2.296e-07,++0.001267
t,Slow - Quick,4.505e-08,1.498e-06,0.0005146
t,Small - Big,2.781e-10,2.573e-07,4.599e-05
t,Smooth - Rough_or_not_smooth,++0.001831,1.507e-05,++0.1629
t,Ugly - Beautiful,++0.3615,++0.05374,++0.1247
w,Angular - Round,++0.09676,++0.2623,++0.1168
w,Bad - Good,++0.006244,++0.03467,++0.05131
w,Cold - Hot,++0.4821,++0.06746,++0.09284
w,Complex - Simple,++0.2204,++0.02707,++0.002308
