phone,axes,first_with,with_without,first_without
p,Difficult - Easy,1.733e-05,3.984e-10,++0.02781
p,Evil - Benign,++0.02379,4.071e-07,0.0002053
p,Faded - Bright,1.627e-05,3.691e-09,++0.08845
p,Feeble - Strong,++0.4718,++0.02158,++0.005433
p,Masculine - Feminine,++0.1562,++0.06897,++0.3651
p,Passive - Active,++0.007883,2.991e-06,++0.009149
p,Quiet - Loud,++0.1641,++0.361,++0.02309
p,Rough - Tender,0.0001884,0.0001397,++0.1019
p,Sad - Joyful,++0.04469,0.0003856,++0.02684
p,Short - Long,++0.1968,++0.02199,++0.09798
p,Slow - Quick,++0.02854,8.066e-05,++0.01673
p,Small - Big,++0.2613,++0.1882,++0.44
p,Smooth - Rough_or_not_smooth,1.129e-06,1.235e-07,++0.2557
p,Ugly - Beautiful,++0.4649,++0.3769,++0.2584
ʔ,Angular - Round,++1.0,1.773e-05,++1.0
ʔ,Bad - Good,++1.0,9.087e-05,++1.0
ʔ,Cold - Hot,++1.0,++0.2073,++1.0
ʔ,Complex - Simple,++1.0,++0.02093,++1.0
ʔ,Cowardly - Brave,++1.0,++0.33,++1.0
ʔ,Dangerous - Secure,++1.0,++0.001563,++1.0
ʔ,Dark - Luminous,++1.0,0.0002593,++1.0
ʔ,Difficult - Easy,++1.0,++0.04932,++1.0
ʔ,Evil - Benign,++1.0,++0.006924,++1.0
ʔ,Faded - Bright,++1.0,++0.1602,++1.0
ʔ,Feeble - Strong,++1.0,++0.07531,++1.0
ʔ,Masculine - Feminine,++1.0,++0.001336,++1.0
ʔ,Passive - Active,++1.0,1.224e-05,++1.0
ʔ,Quiet - Loud,++1.0,++0.1345,++1.0
ʔ,Rough - Tender,++1.0,++0.07002,++1.0
ʔ,Sad - Joyful,++1.0,++0.02008,++1.0
ʔ,Short - Long,++1.0,++0.005891,++1.0
ʔ,Slow - Quick,++1.0,++0.006014,++1.0
ʔ,Small - Big,++1.0,1.088e-05,++1.0
ʔ,Smooth - Rough_or_not_smooth,++1.0,++0.3463,++1.0
ʔ,Ugly - Beautiful,++1.0,++0.07267,++1.0
b,Angular - Round,++0.3029,++0.01274,++0.09386
b,Bad - Good,++0.2572,++0.08872,++0.3233
b,Cold - Hot,++0.4445,++0.2,++0.1734
b,Complex - Simple,++0.004367,++0.02332,++0.04778
